Categoria,Especificação,Porcentagens,Incrementos/Decrementos,Ano
OS Version, Windows,96.19,0.54,2021
OS Version, Windows 10 64 bit,81.74,-9.96,2021
OS Version, Windows 11 64 bit,10.15,8.33,2021
OS Version, Windows 7 64 bit,3.24,0.96,2021
OS Version, Windows 8.1 64 bit,0.68,-0.57,2021
OS Version, Windows 7,0.19,0.02,2021
OS Version, Windows 10,0.08,-0.04,2021
OS Version, Windows 8 64 bit,0.05,-0.04,2021
OS Version, OSX,2.7,-0.74,2021
OS Version, MacOS 12.0.1 64 bit,0.79,0.16,2021
OS Version, MacOS 11.6.0 64 bit,0.33,0.04,2021
OS Version, MacOS 10.15.7 64 bit,0.29,-0.52,2021
OS Version, MacOS 10.14.6 64 bit,0.17,-0.26,2021
OS Version, MacOS 10.13.6 64 bit,0.16,-0.19,2021
OS Version, MacOS 12.1.0 64 bit,0.15,0.0,2021
OS Version, MacOS 11.5.2 64 bit,0.12,0.05,2021
OS Version, MacOS 10.16.0 64 bit,0.1,-1.09,2021
OS Version, MacOS 11.6.1 64 bit,0.1,0.04,2021
OS Version, MacOS 11.4.0 64 bit,0.09,-0.01,2021
OS Version, MacOS 11.2.3 64 bit,0.05,-0.01,2021
OS Version, Linux,1.11,0.2,2021
OS Version, Ubuntu 20.04.3 LTS 64 bit,0.2,0.04,2021
OS Version," ""Manjaro Linux"" 64 bit",0.13,0.03,2021
OS Version," ""Arch Linux"" 64 bit",0.13,0.03,2021
OS Version, Linux Mint 20.2 64 bit,0.08,0.03,2021
OS Version, Ubuntu 21.10 64 bit,0.07,0.01,2021
System RAM, Less than 2 GB,0.06,0.0,2021
System RAM, 2 GB,0.28,-0.04,2021
System RAM, 3 GB,1.22,-0.05,2021
System RAM, 4 GB,3.64,-1.25,2021
System RAM, 5 GB,0.2,-0.04,2021
System RAM, 6 GB,2.12,-0.28,2021
System RAM, 7 GB,2.78,0.44,2021
System RAM, 8 GB,21.96,-6.65,2021
System RAM, 9 GB,0.02,0.0,2021
System RAM, 10 GB,0.32,-0.02,2021
System RAM, 11 GB,0.17,-0.02,2021
System RAM, 12 GB,2.1,-0.56,2021
System RAM, 13 GB,0.04,0.01,2021
System RAM, 14 GB,1.15,0.53,2021
System RAM, 15 GB,2.75,1.38,2021
System RAM, 16 GB,47.43,3.59,2021
System RAM, More than 16 GB,13.72,2.92,2021
Physical CPUs, 1 cpu,0.21,-0.04,2021
Physical CPUs, 2 cpus,11.93,-3.73,2021
Physical CPUs, 3 cpus,0.54,-0.28,2021
Physical CPUs, 4 cpus,35.1,-7.84,2021
Physical CPUs, 5 cpus,0.02,0.01,2021
Physical CPUs, 6 cpus,32.41,4.54,2021
Physical CPUs, 7 cpus,0.0,0.0,2021
Physical CPUs, 8 cpus,17.23,6.19,2021
Physical CPUs, 9 cpus,0.0,0.0,2021
Physical CPUs, 10 cpus,0.9,0.51,2021
Physical CPUs, 11 cpus,0.0,0.0,2021
Physical CPUs, 12 cpus,1.23,0.44,2021
Physical CPUs, 14 cpus,0.01,0.0,2021
Physical CPUs, 15 cpus,0.0,0.0,2021
Physical CPUs, 16 cpus,0.36,0.18,2021
Physical CPUs, 18 cpus,0.02,0.0,2021
Physical CPUs, 20 cpus,0.0,0.0,2021
Physical CPUs, 22 cpus,0.0,0.0,2021
Physical CPUs, 24 cpus,0.01,0.0,2021
Physical CPUs, 26 cpus,0.0,0.0,2021
Physical CPUs, 28 cpus,0.0,0.0,2021
Physical CPUs, 30 cpus,0.0,0.0,2021
Physical CPUs, 32 cpus,0.01,0.0,2021
Physical CPUs, 40 cpus,0.0,0.0,2021
Physical CPUs, 48 cpus,0.0,0.0,2021
Physical CPUs, 64 cpus,0.0,0.0,2021
Video Card Description, NVIDIA GeForce GTX 1060,7.92,-1.46,2021
Video Card Description, NVIDIA GeForce GTX 1650,5.76,1.01,2021
Video Card Description, NVIDIA GeForce GTX 1050 Ti,5.56,-1.23,2021
Video Card Description, NVIDIA GeForce RTX 2060,5.45,1.87,2021
Video Card Description, NVIDIA GeForce GTX 1050,3.04,-1.25,2021
Video Card Description, NVIDIA GeForce GTX 1660 Ti,2.77,-0.25,2021
Video Card Description, NVIDIA GeForce GTX 1660 SUPER,2.53,0.35,2021
Video Card Description, NVIDIA GeForce GTX 1070,2.44,-0.94,2021
Video Card Description, NVIDIA GeForce RTX 2070 SUPER,2.05,-0.17,2021
Video Card Description, NVIDIA GeForce GTX 1660,1.98,0.24,2021
Video Card Description, NVIDIA GeForce RTX 3070,1.87,0.63,2021
Video Card Description, NVIDIA GeForce RTX 3060,1.8,1.64,2021
Video Card Description, NVIDIA GeForce RTX 3060 Laptop GPU,1.68,1.48,2021
Video Card Description, NVIDIA GeForce RTX 2070,1.6,-0.13,2021
Video Card Description, AMD Radeon RX 580,1.48,-0.59,2021
Video Card Description, NVIDIA GeForce GTX 1080,1.48,-0.53,2021
Video Card Description, NVIDIA GeForce GTX 1650 Ti,1.37,0.65,2021
Video Card Description, AMD Radeon Graphics,1.29,0.32,2021
Video Card Description, NVIDIA GeForce RTX 3060 Ti,1.25,1.0,2021
Video Card Description, NVIDIA GeForce RTX 2060 SUPER,1.21,-0.22,2021
Video Card Description, AMD Radeon RX 570,1.15,-0.33,2021
Video Card Description, NVIDIA GeForce GTX 970,1.11,-0.5,2021
Video Card Description, AMD Radeon Vega 8 Graphics,1.09,0.07,2021
Video Card Description, Intel(R) UHD Graphics,1.07,0.48,2021
Video Card Description, NVIDIA GeForce RTX 3080,1.07,0.44,2021
Video Card Description, NVIDIA GeForce GTX 960,1.05,-0.18,2021
Video Card Description, NVIDIA GeForce GTX 1650 SUPER,0.95,0.07,2021
Video Card Description, NVIDIA GeForce GTX 750 Ti,0.9,-0.15,2021
Video Card Description, NVIDIA GeForce GTX 1080 Ti,0.89,-0.4,2021
Video Card Description, Intel UHD Graphics 620,0.79,-0.22,2021
Video Card Description, NVIDIA GeForce GT 1030,0.79,0.2,2021
Video Card Description, NVIDIA GeForce RTX 2080 SUPER,0.79,0.0,2021
Video Card Description, Apple G13G,0.77,0.6,2021
Video Card Description, AMD Radeon RX 5700 XT,0.73,-0.3,2021
Video Card Description, NVIDIA GeForce GTX 1070 Ti,0.71,-0.22,2021
Video Card Description, NVIDIA GeForce RTX 2080,0.69,-0.13,2021
Video Card Description, Intel(R) Iris(R) Xe Graphics,0.66,0.45,2021
Video Card Description, NVIDIA GeForce RTX 2080 Ti,0.57,-0.2,2021
Video Card Description, Intel HD Graphics 4000,0.52,-0.2,2021
Video Card Description, NVIDIA GeForce GT 730,0.49,0.01,2021
Video Card Description, Intel HD Graphics 620,0.48,-0.21,2021
Video Card Description, NVIDIA GeForce RTX 3070 Laptop GPU,0.48,0.29,2021
Video Card Description, NVIDIA GeForce GTX 960M,0.46,-0.33,2021
Video Card Description, AMD Radeon Vega 3 Graphics,0.46,0.14,2021
Video Card Description, AMD Radeon RX 550,0.45,0.05,2021
Video Card Description, NVIDIA GeForce 940M,0.43,-0.27,2021
Video Card Description, NVIDIA GeForce RTX 3050,0.42,0.23,2021
Video Card Description, NVIDIA GeForce RTX 3090,0.42,0.2,2021
Video Card Description, NVIDIA GeForce RTX 3070 Ti,0.4,0.17,2021
Video Card Description, AMD Radeon RX Vega 11 Graphics,0.4,0.04,2021
Video Card Description, NVIDIA GeForce GT 710,0.39,0.05,2021
Video Card Description, Intel UHD Graphics 630,0.39,-0.25,2021
Video Card Description, Intel HD Graphics 520,0.39,-0.13,2021
Video Card Description, NVIDIA GeForce RTX 3080 Ti,0.38,0.23,2021
Video Card Description, AMD Radeon RX 480,0.38,-0.08,2021
Video Card Description, Intel HD Graphics 4600,0.38,0.0,2021
Video Card Description, Intel Haswell,0.38,-0.08,2021
Video Card Description, NVIDIA GeForce MX250,0.37,-0.03,2021
Video Card Description, NVIDIA GeForce RTX 3050 Laptop GPU,0.37,0.22,2021
Video Card Description, NVIDIA GeForce RTX 3050 Ti Laptop GPU,0.36,0.17,2021
Video Card Description, NVIDIA GeForce MX150,0.35,-0.17,2021
Video Card Description, NVIDIA GeForce GTX 950,0.34,-0.03,2021
Video Card Description, AMD Radeon RX 460,0.32,0.08,2021
Video Card Description, Intel HD Graphics 3000,0.31,-0.09,2021
Video Card Description, Intel Ivy Bridge,0.31,-0.01,2021
Video Card Description, AMD Radeon RX 560,0.31,-0.06,2021
Video Card Description, NVIDIA GeForce GTX 950M,0.29,-0.19,2021
Video Card Description, AMD Radeon RX 5500 XT,0.28,-0.01,2021
Video Card Description, Intel HD Graphics 5500,0.27,-0.1,2021
Video Card Description, NVIDIA GeForce RTX 2070 with Max-Q Design,0.27,0.04,2021
Video Card Description, NVIDIA GeForce GTX 750,0.27,-0.03,2021
Video Card Description, Intel Iris Plus Graphics,0.26,0.03,2021
Video Card Description, AMD Radeon RX 5600 XT,0.25,-0.07,2021
Video Card Description, AMD Radeon HD 8800 Series,0.25,-0.09,2021
Video Card Description, NVIDIA GeForce GT 720M,0.24,-0.13,2021
Video Card Description, AMD Radeon R7 Graphics,0.24,-0.08,2021
Video Card Description, Intel HD Graphics 6000,0.24,-0.21,2021
Video Card Description, NVIDIA GeForce GTX 650,0.24,-0.05,2021
Video Card Description, NVIDIA GeForce MX110,0.24,-0.04,2021
Video Card Description, AMD Radeon R5 Graphics,0.23,-0.12,2021
Video Card Description, AMD Radeon RX 590 Series,0.23,-0.11,2021
Video Card Description, NVIDIA GeForce GTX 980,0.23,-0.09,2021
Video Card Description, NVIDIA GeForce MX350,0.23,0.05,2021
Video Card Description, NVIDIA GeForce GTX 760,0.23,-0.08,2021
Video Card Description, NVIDIA GeForce GTX 660,0.22,-0.07,2021
Video Card Description, Intel(R) UHD Graphics 630,0.22,0.06,2021
Video Card Description, NVIDIA GeForce MX130,0.21,-0.05,2021
Video Card Description, AMD Radeon RX 470,0.21,-0.11,2021
Video Card Description, NVIDIA GeForce GTX 980 Ti,0.2,-0.1,2021
Video Card Description, Intel HD Graphics 630,0.2,-0.11,2021
Video Card Description, NVIDIA GeForce MX450,0.2,0.03,2021
Video Card Description, AMD Radeon RX 6700 XT,0.19,0.03,2021
Video Card Description, Intel Sandy Bridge,0.17,-0.01,2021
Video Card Description, Intel HD Graphics 530,0.17,-0.05,2021
Video Card Description, NVIDIA GeForce MX330,0.17,0.01,2021
Video Card Description, AMD Radeon RX 580 2048SP,0.17,-0.07,2021
Video Card Description, AMD Radeon RX 5500M,0.16,0.0,2021
Video Card Description, NVIDIA GeForce GT 630,0.16,-0.02,2021
Video Card Description, NVIDIA GeForce RTX 3050 Ti,0.15,-0.01,2021
Video Card Description, NVIDIA GeForce 920M,0.15,-0.1,2021
Video Card Description, AMD Radeon RX 5700,0.15,-0.09,2021
